localTableID,URL,moby_work_name,Category,platform,Master ID,Amazon_ID,Amazon_Search_Keywords,ebay_Search_Keywords,ebay_id,minimum_price_US$,
8920, https://www.amazon.com/dp/B000FN5N0E/?tag=mobygames02-20&amp;aod=1,quarth,amazon_ID,,2215,B000FN5N0E,,,,0,
8939, https://www.amazon.com/dp/B00002ST5A/?tag=mobygames02-20&amp;aod=1,quest-for-camelot,amazon_ID,,2669,B00002ST5A,,,,0,
8945, https://www.amazon.com/dp/B0000CDZB8/?tag=mobygames02-20&amp;aod=1,r-type-iii-the-third-lightning,amazon_ID,,3352,B0000CDZB8,,,,0,
8974, https://www.amazon.com/dp/B00004WLQ9/?tag=mobygames02-20&amp;aod=1,racin-ratz,amazon_ID,,2672,B00004WLQ9,,,,0,
8988, https://www.amazon.com/dp/B0009A4EUI/?tag=mobygames02-20&amp;aod=1,radiata-stories,amazon_ID,,1192,B0009A4EUI,,,,0,
8992, https://www.amazon.com/dp/B000035XGZ/?tag=mobygames02-20&amp;aod=1,raging-fighter,amazon_ID,,2220,B000035XGZ,,,,0,
8997, https://www.amazon.com/dp/B000035XW8/?tag=mobygames02-20&amp;aod=1,rally-cross,amazon_ID,,119,B000035XW8,,,,0,
9005, https://www.amazon.com/dp/B00006ZCD5/?tag=mobygames02-20&amp;aod=1,rally-fusion-race-of-champions,amazon_ID,,4314,B00006ZCD5,,,,0,
9007, https://www.amazon.com/dp/B00006ZCD6/?tag=mobygames02-20&amp;aod=1,rally-fusion-race-of-champions,amazon_ID,,4314,B00006ZCD6,,,,0,
9013, https://www.amazon.com/dp/B00000K1X7/?tag=mobygames02-20&amp;aod=1,rampage-2-universal-tour,amazon_ID,,2673,B00000K1X7,,,,0,
9015, https://www.amazon.com/dp/B000021Y1B/?tag=mobygames02-20&amp;aod=1,rampage-2-universal-tour,amazon_ID,,2673,B000021Y1B,,,,0,
9017, https://www.amazon.com/dp/B000021Y4G/?tag=mobygames02-20&amp;aod=1,rampage-2-universal-tour,amazon_ID,,2673,B000021Y4G,,,,0,
9019, https://www.amazon.com/dp/B00005RCQN/?tag=mobygames02-20&amp;aod=1,rampage-puzzle-attack,amazon_ID,,3354,B00005RCQN,,,,0,
9022, https://www.amazon.com/dp/B000021Y38/?tag=mobygames02-20&amp;aod=1,rampage-world-tour,amazon_ID,,2674,B000021Y38,,,,0,
9024, https://www.amazon.com/dp/B000021Y30/?tag=mobygames02-20&amp;aod=1,rampage-world-tour,amazon_ID,,2674,B000021Y30,,,,0,
9026, https://www.amazon.com/dp/B000021Y5R/?tag=mobygames02-20&amp;aod=1,rampage-world-tour,amazon_ID,,2674,B000021Y5R,,,,0,
9028, https://www.amazon.com/dp/B00004SW2J/?tag=mobygames02-20&amp;aod=1,rampage-world-tour,amazon_ID,,2674,B00004SW2J,,,,0,
9030, https://www.amazon.com/dp/B000TC2YD0/?tag=mobygames02-20&amp;aod=1,rampage-world-tour,amazon_ID,,2674,B000TC2YD0,,,,0,
9039, https://www.amazon.com/dp/B000021Y3X/?tag=mobygames02-20&amp;aod=1,rampart,amazon_ID,,2675,B000021Y3X,,,,0,
9041, https://www.amazon.com/dp/B000035XNH/?tag=mobygames02-20&amp;aod=1,rampart,amazon_ID,,2675,B000035XNH,,,,0,
9043, https://www.amazon.com/dp/B00004SVTP/?tag=mobygames02-20&amp;aod=1,rampart,amazon_ID,,2675,B00004SVTP,,,,0,
9045, https://www.amazon.com/dp/B000035Y2B/?tag=mobygames02-20&amp;aod=1,rampart,amazon_ID,,2675,B000035Y2B,,,,0,
9049, https://www.amazon.com/dp/B0002B90Q2/?tag=mobygames02-20&amp;aod=1,rapala-pro-fishing,amazon_ID,,3355,B0002B90Q2,,,,0,
9051, https://www.amazon.com/dp/B0002B90T4/?tag=mobygames02-20&amp;aod=1,rapala-pro-fishing,amazon_ID,,3355,B0002B90T4,,,,0,
9057, https://www.amazon.com/dp/B0002B90S0/?tag=mobygames02-20&amp;aod=1,rapala-pro-fishing,amazon_ID,,3355,B0002B90S0,,,,0,
9059, https://www.amazon.com/dp/B00006GSNX/?tag=mobygames02-20&amp;aod=1,ratchet-clank,amazon_ID,,1268,B00006GSNX,,,,0,
9066, https://www.amazon.com/dp/B00002ST5C/?tag=mobygames02-20&amp;aod=1,rats,amazon_ID,,2676,B00002ST5C,,,,0,
9069, https://www.amazon.com/dp/B00004XOM7/?tag=mobygames02-20&amp;aod=1,raycrisis-series-termination,amazon_ID,,466,B00004XOM7,,,,0,
9079, https://www.amazon.com/dp/B00005RL4C/?tag=mobygames02-20&amp;aod=1,rayman-2,amazon_ID,,2678,B00005RL4C,,,,0,
9081, https://www.amazon.com/dp/B00006FMS9/?tag=mobygames02-20&amp;aod=1,rayman-3,amazon_ID,,3357,B00006FMS9,,,,0,
9085, https://www.amazon.com/dp/B0007NWLYS/?tag=mobygames02-20&amp;aod=1,rayman-hoodlums-revenge,amazon_ID,,3358,B0007NWLYS,,,,0,
9087, https://www.amazon.com/dp/B000GB75DI/?tag=mobygames02-20&amp;aod=1,rayman-raving-rabbids_,amazon_ID,,3359,B000GB75DI,,,,0,
9091, https://www.amazon.com/dp/B00005BIGE/?tag=mobygames02-20&amp;aod=1,rayman,amazon_ID,,3356,B00005BIGE,,,,0,
9095, https://www.amazon.com/dp/B000029706/?tag=mobygames02-20&amp;aod=1,rayman,amazon_ID,,3356,B000029706,,,,0,
9109, https://www.amazon.com/dp/B000RRWLK8/?tag=mobygames02-20&amp;aod=1,rayman_,amazon_ID,,2677,B000RRWLK8,,,,0,
9115, https://www.amazon.com/dp/B00005Y4Q6/?tag=mobygames02-20&amp;aod=1,rc-daredevil,amazon_ID,,1373,B00005Y4Q6,,,,0,
9132, https://www.amazon.com/dp/B000EH6EL8/?tag=mobygames02-20&amp;aod=1,reader-rabbit,amazon_ID,,1599,B000EH6EL8,,,,0,
9136, https://www.amazon.com/dp/B00005BJ9H/?tag=mobygames02-20&amp;aod=1,ready-2-rumble-boxing-round-2_,amazon_ID,,3360,B00005BJ9H,,,,0,
9138, https://www.amazon.com/dp/B000021Y41/?tag=mobygames02-20&amp;aod=1,ready-2-rumble-boxing_,amazon_ID,,2680,B000021Y41,,,,0,
9148, https://www.amazon.com/dp/B0027WNRFE/?tag=mobygames02-20&amp;aod=1,real-heroes-firefighter,amazon_ID,,1253,B0027WNRFE,,,,0,
9152, https://www.amazon.com/dp/B00005Y4Q3/?tag=mobygames02-20&amp;aod=1,real-pool-2,amazon_ID,,826,B00005Y4Q3,,,,0,
9154, https://www.amazon.com/dp/B000F6K13K/?tag=mobygames02-20&amp;aod=1,real-world-golf,amazon_ID,,855,B000F6K13K,,,,0,
9161, https://www.amazon.com/dp/B000A2GX2M/?tag=mobygames02-20&amp;aod=1,rebelstar-tactical-command(1),amazon_ID,,#N/A,B000A2GX2M,,,,0,
9164, https://www.amazon.com/dp/B00005BIG7/?tag=mobygames02-20&amp;aod=1,red-faction,amazon_ID,,4276,B00005BIG7,,,,0,
9174, https://www.amazon.com/dp/B00005LZY8/?tag=mobygames02-20&amp;aod=1,reel-fishing-wild,amazon_ID,,1495,B00005LZY8,,,,0,
9184, https://www.amazon.com/dp/B00002ST1Y/?tag=mobygames02-20&amp;aod=1,ren-stimpy-show-space-cadet-adventures,amazon_ID,,2329,B00002ST1Y,,,,0,
9190, https://www.amazon.com/dp/B000067AVJ/?tag=mobygames02-20&amp;aod=1,republic-the-revolution,amazon_ID,,824,B000067AVJ,,,,0,
9196, https://www.amazon.com/dp/B000B69E9Q/?tag=mobygames02-20&amp;aod=1,resident-evil-4-premium-edition,amazon_ID,,4131,B000B69E9Q,,,,0,
9200, https://www.amazon.com/dp/B00009WAVA/?tag=mobygames02-20&amp;aod=1,resident-evil-code-veronica-x,amazon_ID,,4192,B00009WAVA,,,,0,
9202, https://www.amazon.com/dp/B00005ME6N/?tag=mobygames02-20&amp;aod=1,resident-evil-code-veronica-x,amazon_ID,,4192,B00005ME6N,,,,0,
9211, https://www.amazon.com/dp/B00009KO3N/?tag=mobygames02-20&amp;aod=1,resident-evil-dead-aim,amazon_ID,,4331,B00009KO3N,,,,0,
9213, https://www.amazon.com/dp/B00005V6B5/?tag=mobygames02-20&amp;aod=1,resident-evil-gaiden,amazon_ID,,2682,B00005V6B5,,,,0,
9215, https://www.amazon.com/dp/B0000ALBWW/?tag=mobygames02-20&amp;aod=1,resident-evil-outbreak,amazon_ID,,4229,B0000ALBWW,,,,0,
9223, https://www.amazon.com/dp/B0040QH1NO/?tag=mobygames02-20&amp;aod=1,revelations-the-demon-slayer,amazon_ID,,2684,B0040QH1NO,,,,#N/A,
9227, https://www.amazon.com/dp/B00006N5SR/?tag=mobygames02-20&amp;aod=1,revenge-of-shinobi_,amazon_ID,,3534,B00006N5SR,,,,0,
9237, https://www.amazon.com/dp/B00005ULXM/?tag=mobygames02-20&amp;aod=1,rez,amazon_ID,,4273,B00005ULXM,,,,0,
9249, https://www.amazon.com/dp/B000PWTKH2/?tag=mobygames02-20&amp;aod=1,ride-carnival-tycoon,amazon_ID,,567,B000PWTKH2,,,,0,
9255, https://www.amazon.com/dp/B00005C4KA/?tag=mobygames02-20&amp;aod=1,ring-rage,amazon_ID,,2223,B00005C4KA,,,,0,
9262, https://www.amazon.com/dp/B00009YXDR/?tag=mobygames02-20&amp;aod=1,river-city-ransom,amazon_ID,,3364,B00009YXDR,,,,0,
9264, https://www.amazon.com/dp/B0002TQK9E/?tag=mobygames02-20&amp;aod=1,river-city-ransom,amazon_ID,,3364,B0002TQK9E,,,,0,
9280, https://www.amazon.com/dp/B002P138QU/?tag=mobygames02-20&amp;aod=1,river-raid,amazon_ID,,1763,B002P138QU,,,,0,
9287, https://www.amazon.com/dp/B0007U0GT8/?tag=mobygames02-20&amp;aod=1,riviera-the-promised-land,amazon_ID,,3365,B0007U0GT8,,,,0,
