amazon ID,Title,platform,ebay,amazon_search,Minimum Price,amazon_individual_id
B00008BRA1,Aero Elite: Combat Academy - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B001CMOYOS,Shanghai      ,"Game Boy Color,  Game Boy",,,0,amazon_individual_id
B0013B30SE,Pokemon Mystery Dungeon: Explorers of Darkness      ,Nintendo DS,,,0,amazon_individual_id
B00001ZWNG,Ultimate Paintball      ,Game Boy Color,,,0,amazon_individual_id
B000FSAFHU,Mortal Kombat 3      ,#N/A,,,0,amazon_individual_id
B000021Y41,Ready 2 Rumble Boxing      ,Game Boy Color,,,0,amazon_individual_id
B00004YMZY,Unreal Tournament      ,Sega Dreamcast,,,0,amazon_individual_id
B000LC6T20,Sim City 2000: The Ultimate City Simulator      ,DOS,,,0,amazon_individual_id
B000LRNEG4,ChessMaster      ,Game Boy Color,,,0,amazon_individual_id
B000LSTEZ8,Ms. Pac-Man NES      ,Nintendo NES,,,0,amazon_individual_id
B00004TMQ0,Yoshi&#39;s Cookie      ,Game Boy,,,0,amazon_individual_id
B00005RCPT,Wizardry: The Forsaken Land      ,PlayStation2,,,0,amazon_individual_id
B00005RCPW,Hidden Invasion      ,No Operating System,,,0,amazon_individual_id
B00005NN7H,Hot Wheels: Burnin&#39; Rubber      ,Game Boy Advance,,,0,amazon_individual_id
B0002T57W0,The Beast Within: A Gabriel Knight Mystery,#N/A,,,0,amazon_individual_id
B0002TQK9E,River City Ransom      ,Nintendo NES,,,0,amazon_individual_id
B000BMS0PE,When Two Worlds War      ,DOS,,,0,amazon_individual_id
B00004SVL3,Animorphs      ,Game Boy Color,,,0,amazon_individual_id
B0018Z7W4I,NFL Head Coach 09 - Playstation 3      ,PlayStation 3,,,0,amazon_individual_id
B000EH6EL8,Reader Rabbit 1 Readind and Thinking      ,#N/A,,,0,amazon_individual_id
B000EHK9DW,Puerto Rico the PC game      ,"Windows Vista,  Windows XP,  Windows 7,  Windows Me,  Windows 2000",,,0,amazon_individual_id
B00002ST5C,Rats!      ,Game Boy Color,,,0,amazon_individual_id
B00002ST5D,Shadowgate Classic      ,Game Boy Color,,,0,amazon_individual_id
B00004YUBJ,Championship Surfer - Sega Dreamcast      ,Sega Dreamcast,,,0,amazon_individual_id
B00002ST3Q,Final Fantasy Legend      ,Game Boy,,,0,amazon_individual_id
B00006LU8X,Super Bust-A-Move 2      ,PlayStation2,,,0,amazon_individual_id
B000KV8YIE,Earl Weaver Baseball II      ,#N/A,,,0,amazon_individual_id
B00005B8GJ,The Land Before Time      ,Game Boy Color,,,0,amazon_individual_id
B00005B8GK,Alone in the Dark 4: The New Nightmare      ,Game Boy Color,,,0,amazon_individual_id
B00005V6C2,Rainbow Six: Rogue Spear      ,Game Boy Advance,,,0,amazon_individual_id
B00026I0E0,Catwoman - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B00026I0EK,Madden 2005 - PlayStation      ,PlayStation,,,0,amazon_individual_id
B00005T366,F1 2001 (XBox)      ,"Windows XP,  Windows 98,  Windows Me,  Windows 2000",,,0,amazon_individual_id
B0009J1IK8,Singstar Rocks! - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B0006B0O90,Urbz: Sims In The City - Nintendo DS      ,Nintendo DS,,,0,amazon_individual_id
B000035XD8,Terminator II: Arcade Game      ,Game Boy,,,0,amazon_individual_id
B000EZ3FDA,One Piece: Pirates&#39; Carnival - PlayStation 2      ,PlayStation2,,,0,amazon_individual_id
B00002STZ6,Doom      ,Super Nintendo,,,0,amazon_individual_id
B001J872K8,Game Boy Kwirk      ,"Game Boy,  PlayStation 4",,,0,amazon_individual_id
B000035XF5,Toy Story      ,Game Boy,,,0,amazon_individual_id
B000922CE6,Soda Pipes A Refreshing Puzzle Game (Jewel Case) - PC      ,Windows,,,0,amazon_individual_id
B00009YEJT,Whiplash      ,Xbox,,,0,amazon_individual_id
